titleId,title,averageRating,numVotes,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,captured
tt0107494,"Malenkie chelovechki Bolshevistskogo pereulka, ili Khochu piva",5.3,12.0,"Malenkie chelovechki Bolshevistskogo pereulka, ili Khochu piva","Malenkie chelovechki Bolshevistskogo pereulka, ili Khochu piva",0.0,1993,98,"Comedy,Drama",0
tt0107495,Malenkiy gigant bolshogo seksa,5.2,125.0,Malenkiy gigant bolshogo seksa,Malenkiy gigant bolshogo seksa,0.0,1993,79,Comedy,0
tt0107496,Malibu Summer,4.2,35.0,Malibu Summer,Malibu Summer,0.0,1993,\N,\N,0
tt0107497,Malice,6.4,20472.0,Malice,Malice,0.0,1993,107,"Crime,Mystery,Thriller",0
tt0107501,The Man Without a Face,6.7,25519.0,The Man Without a Face,The Man Without a Face,0.0,1993,115,Drama,0
tt0107504,Man's Best Friend,5.1,3484.0,Man's Best Friend,Man's Best Friend,0.0,1993,87,"Comedy,Horror,Sci-Fi",0
tt0107505,Mandroid,4.1,383.0,Mandroid,Mandroid,0.0,1993,81,"Action,Sci-Fi",0
tt0107507,Manhattan Murder Mystery,7.4,33110.0,Manhattan Murder Mystery,Manhattan Murder Mystery,0.0,1993,104,"Comedy,Mystery",0
tt0107508,Manhattan by Numbers,7.5,86.0,Manhattan by Numbers,Manhattan by Numbers,0.0,1993,110,Drama,0
tt0107511,Mannen på balkongen,6.2,980.0,Mannen på balkongen,Mannen på balkongen,0.0,1993,91,"Crime,Drama,Mystery",0
tt0107514,Marcides,6.1,95.0,Mercedes,Marcides,0.0,1993,108,Drama,0
tt0107515,Le mari de Léon,5.4,28.0,Leon's Husband,Le mari de Léon,0.0,1993,103,\N,0
tt0107518,"Mario, Maria e Mario",6.1,90.0,"Mario, Maria e Mario","Mario, Maria e Mario",0.0,1993,102,"Comedy,Drama,Romance",0
tt0107520,Les marmottes,5.0,308.0,Les marmottes,Les marmottes,0.0,1993,104,"Comedy,Drama,Romance",0
tt0107521,Marraskuun harmaa valo,5.6,61.0,The Grey Light of November,Marraskuun harmaa valo,0.0,1993,78,\N,0
tt0107522,"Married People, Single Sex",3.6,179.0,"Married People, Single Sex","Married People, Single Sex",0.0,1994,90,Drama,0
tt0107523,Married to It,5.9,797.0,Married to It,Married to It,0.0,1991,112,"Comedy,Drama",0
tt0107528,Matar al abuelito,6.2,90.0,Killing Grandpa,Matar al abuelito,0.0,1993,115,"Comedy,Drama",0
tt0107529,Matinee,6.8,8202.0,Matinee,Matinee,0.0,1993,99,"Comedy,Drama",0
tt0107531,Matusalem,6.4,362.0,Matusalem,Matusalem,0.0,1993,105,"Adventure,Family,Fantasy",0
tt0107533,Mavi sürgün,7.3,131.0,The Blue Exile,Mavi sürgün,0.0,1993,108,Drama,0
tt0107535,Mazeppa,6.3,122.0,Mazeppa,Mazeppa,0.0,1993,111,Drama,0
tt0107537,Mécaniques célestes,7.0,355.0,Celestial Clockwork,Mécaniques célestes,0.0,1995,85,Comedy,0
tt0107542,Mehapeset Baal Al Arba,3.3,9.0,Wanted: Four Legged Husband,Mehapeset Baal Al Arba,0.0,1993,85,Comedy,0
tt0107543,Meharbaan,6.2,26.0,Meharbaan,Meharbaan,0.0,1993,\N,Romance,0
tt0107544,Mei gui mei gui wo ai ni,6.7,85.0,Mei gui mei gui wo ai ni,Mei gui mei gui wo ai ni,0.0,1993,94,"Action,Comedy,Musical",0
tt0107547,Mein Krieg,7.4,179.0,My Private War,Mein Krieg,0.0,1990,90,"Documentary,War",0
tt0107554,Menace II Society,7.5,45606.0,Menace II Society,Menace II Society,0.0,1993,97,"Crime,Drama,Thriller",0
tt0107555,Mensonge,5.6,53.0,The Lie,Mensonge,0.0,1993,89,Drama,0
tt0107558,Metaal en melancholie,8.0,139.0,Metaal en melancholie,Metaal en melancholie,0.0,1994,80,"Documentary,Drama",0
tt0107561,Metamorphosis: The Alien Factor,4.4,664.0,Metamorphosis: The Alien Factor,Metamorphosis: The Alien Factor,0.0,1990,98,"Horror,Sci-Fi",0
tt0107562,Metaihmio,5.9,38.0,Border Line,Metaihmio,0.0,1994,85,Drama,0
tt0107563,The Meteor Man,5.1,6990.0,The Meteor Man,The Meteor Man,0.0,1993,100,"Action,Comedy,Fantasy",0
tt0107564,Mi hermano del alma,7.0,171.0,My Soul Brother,Mi hermano del alma,0.0,1994,93,Thriller,0
tt0107565,Mat to sing suk si,5.7,266.0,Crazy Love,Mat to sing suk si,0.0,1993,77,"Drama,Romance",0
tt0107566,Mi vida loca,6.5,1730.0,Mi vida loca,Mi vida loca,0.0,1993,92,"Crime,Drama",0
tt0107568,Midnight 2,4.4,63.0,Midnight 2,Midnight 2,0.0,1993,72,Horror,0
tt0107570,Midnight Edition,5.3,41.0,Midnight Edition,Midnight Edition,0.0,1993,97,Thriller,0
tt0107571,Midnight Kiss,4.5,190.0,Midnight Kiss,Midnight Kiss,0.0,1993,85,Horror,0
tt0107572,Mit moon cham on: Yit saat,5.8,474.0,Daughter of Darkness,Mit moon cham on: Yit saat,0.0,1993,96,"Comedy,Drama,Horror",0
tt0107573,Honey Sweet Love,6.9,41.0,Honey Sweet Love...,Honey Sweet Love,0.0,1994,100,"Comedy,Drama,Romance",0
tt0107575,Mille bolle blu,6.8,154.0,Mille bolle blu,Mille bolle blu,0.0,1993,87,"Comedy,Romance",0
tt0107579,O Miradouro da Lua,6.6,12.0,O Miradouro da Lua,O Miradouro da Lua,0.0,1993,85,Drama,0
tt0107584,Miss Bolero,4.0,22.0,Miss Bolero,Miss Bolero,0.0,1994,84,Thriller,0
tt0107586,Mo hua qing,5.4,60.0,Mo hua qing,Mo hua qing,0.0,1991,86,"Fantasy,Romance",0
tt0107587,Mod Fuck Explosion,3.4,356.0,Mod Fuck Explosion,Mod Fuck Explosion,0.0,1994,67,"Comedy,Drama,Sci-Fi",0
tt0107588,"Moi Ivan, toi Abraham",7.1,222.0,Ivan & Abraham,"Moi Ivan, toi Abraham",0.0,1993,105,Drama,0
tt0107590,Molly & Gina,4.5,66.0,Molly & Gina,Molly & Gina,0.0,1994,93,Drama,0
tt0107594,Money for Nothing,5.7,3432.0,Money for Nothing,Money for Nothing,0.0,1993,100,"Comedy,Crime,Drama",0
tt0107597,Monolith,4.4,751.0,Monolith,Monolith,0.0,1993,91,"Action,Sci-Fi",0
tt0107599,"Monturiol, el senyor del mar",5.8,26.0,"Monturiol, el senyor del mar","Monturiol, el senyor del mar",0.0,1993,\N,\N,0
tt0107601,Morfars resa,5.6,15.0,Morfars resa,Morfars resa,0.0,1993,82,\N,0
tt0107604,Morning Glory,6.6,349.0,Morning Glory,Morning Glory,0.0,1993,96,Drama,0
tt0107606,Mother's Boys,5.4,2738.0,Mother's Boys,Mother's Boys,0.0,1993,96,"Drama,Thriller",0
tt0107611,Mr. Jones,5.8,6259.0,Mr. Jones,Mr. Jones,0.0,1993,114,"Drama,Romance",0
tt0107612,Mr. Nanny,3.7,8269.0,Mr. Nanny,Mr. Nanny,0.0,1993,84,"Action,Comedy,Family",0
tt0107613,Mr. Wonderful,5.9,2870.0,Mr. Wonderful,Mr. Wonderful,0.0,1993,98,"Comedy,Romance",0
tt0107614,Mrs. Doubtfire,7.0,212948.0,Mrs. Doubtfire,Mrs. Doubtfire,0.0,1993,125,"Comedy,Drama,Family",0
tt0107615,Ma lu tian shi,5.2,6.0,Ma lu tian shi,Ma lu tian shi,0.0,1993,89,\N,0
tt0107616,Much Ado About Nothing,7.4,41334.0,Much Ado About Nothing,Much Ado About Nothing,0.0,1993,111,"Comedy,Drama,Romance",0
tt0107617,Mùi du du xanh,7.4,7031.0,The Scent of Green Papaya,Mùi du du xanh,0.0,1993,104,"Drama,Music,Romance",0
tt0107618,The Mummy Lives,3.6,266.0,The Mummy Lives,The Mummy Lives,0.0,1993,97,Horror,0
tt0107621,Un muro de silencio,7.8,112.0,A Wall of Silence,Un muro de silencio,0.0,1993,105,Drama,0
tt0107623,The Music of Chance,7.2,1958.0,The Music of Chance,The Music of Chance,0.0,1993,98,Drama,0
tt0107624,Mustard Bath,6.2,61.0,Mustard Bath,Mustard Bath,0.0,1993,110,\N,0
tt0107625,Muttertag,8.1,1786.0,Mother's Day,Muttertag,0.0,1993,95,Comedy,0
tt0107626,My Boyfriend's Back,5.4,3900.0,My Boyfriend's Back,My Boyfriend's Back,0.0,1993,85,"Comedy,Fantasy,Horror",0
tt0107628,My Family Treasure,6.0,45.0,My Family Treasure,My Family Treasure,0.0,1993,95,"Adventure,Comedy,Drama",0
tt0107629,"My Home, My Prison",7.0,9.0,"My Home, My Prison","My Home, My Prison",0.0,1993,\N,"Biography,Documentary,War",0
tt0107630,My Life,6.9,9580.0,My Life,My Life,0.0,1993,117,Drama,0
tt0107631,My Life's in Turnaround,4.4,305.0,My Life's in Turnaround,My Life's in Turnaround,0.0,1993,84,"Comedy,Drama,Romance",0
tt0107639,The Myth of the Male Orgasm,6.1,146.0,The Myth of the Male Orgasm,The Myth of the Male Orgasm,0.0,1993,90,"Comedy,Romance",0
tt0107642,Métisse,6.1,954.0,Café au lait,Métisse,0.0,1993,94,"Comedy,Romance",0
tt0107643,Móvil pasional,5.3,7.0,Móvil pasional,Móvil pasional,0.0,1993,98,\N,0
tt0107644,Möbius,6.1,32.0,Möbius,Möbius,0.0,1993,90,Sci-Fi,0
tt0107647,Der Nachbar,7.0,84.0,The Neighbor,Der Nachbar,0.0,1993,92,Drama,0
tt0107650,Nad temnoy vodoy,6.6,63.0,Nad temnoy vodoy,Nad temnoy vodoy,0.0,1993,95,"Drama,Romance",0
tt0107651,La nage indienne,6.4,37.0,Sidestroke,La nage indienne,0.0,1993,92,"Comedy,Drama",0
tt0107652,La naissance de l'amour,7.1,391.0,The Birth of Love,La naissance de l'amour,0.0,1993,94,Drama,0
tt0107653,Naked,7.9,29062.0,Naked,Naked,0.0,1993,132,"Comedy,Drama",0
tt0107656,Nan yu nu,4.6,31.0,Nan yu nu,Nan yu nu,0.0,1993,87,"Comedy,Drama,Thriller",0
tt0107657,Naomi,5.6,5.0,Naomi,Naomi,0.0,1993,55,\N,0
tt0107658,Nastya,7.0,406.0,Nastya,Nastya,0.0,1994,89,"Comedy,Romance",0
tt0107659,Loaded Weapon 1,6.1,41074.0,Loaded Weapon 1,Loaded Weapon 1,0.0,1993,84,"Action,Comedy,Crime",0
tt0107660,Navigatori dello spazio,2.6,33.0,Navigators of the Space,Navigatori dello spazio,0.0,1993,102,"Adventure,Sci-Fi",0
tt0107661,Navodneniye,7.0,86.0,Navodneniye,Navodneniye,0.0,1993,99,"Crime,Drama,Mystery",0
tt0107662,Neak sre,7.2,243.0,The Rice People,Neak sre,0.0,1994,125,Drama,0
tt0107664,Necronomicon,5.8,4848.0,Necronomicon: Book of Dead,Necronomicon,0.0,1993,96,Horror,0
tt0107665,Needful Things,6.2,19706.0,Needful Things,Needful Things,0.0,1993,120,"Crime,Drama,Fantasy",0
tt0107666,The Neighbor,5.5,399.0,The Neighbor,The Neighbor,0.0,1993,93,"Horror,Thriller",0
tt0107667,Nel continente nero,5.3,130.0,Nel continente nero,Nel continente nero,0.0,1993,110,Comedy,0
tt0107668,Nemesis,5.6,4271.0,Nemesis,Nemesis,0.0,1992,95,"Action,Sci-Fi,Thriller",0
tt0107669,The Neo-Fascist Trilogy: I. In the Valley of the Wupper,6.9,10.0,The Neo-Fascist Trilogy: I. In the Valley of the Wupper,The Neo-Fascist Trilogy: I. In the Valley of the Wupper,0.0,1994,96,Documentary,0
tt0107672,Nesmrtelná teta,6.2,237.0,The Immortal Woman,Nesmrtelná teta,0.0,1993,\N,"Comedy,Fantasy",0
tt0107678,Nich pytan,7.8,13.0,Nich pytan,Nich pytan,0.0,1993,100,Romance,0
tt0107680,Night Eyes Three,4.1,391.0,Night Eyes Three,Night Eyes Three,0.0,1993,97,"Drama,Thriller",0
tt0107681,Night Owl,5.7,90.0,Night Owl,Night Owl,0.0,1993,77,"Crime,Drama,Horror",0
tt0107683,Night Train to Venice,2.2,844.0,Night Train to Venice,Night Train to Venice,0.0,1993,98,"Mystery,Thriller",0
tt0107684,Night Trap,4.2,259.0,Night Trap,Night Trap,0.0,1993,93,"Horror,Thriller",0
tt0107685,The Night We Never Met,6.0,2221.0,The Night We Never Met,The Night We Never Met,0.0,1993,99,"Comedy,Romance",0
tt0107686,Yoru ga mata kuru,6.5,73.0,Alone in the Night,Yoru ga mata kuru,0.0,1994,108,"Crime,Drama",0
tt0107688,The Nightmare Before Christmas,8.0,261556.0,The Nightmare Before Christmas,The Nightmare Before Christmas,0.0,1993,76,"Animation,Family,Fantasy",0
tt0107690,Nikmato Shel Itzik Finkelstein,7.5,31.0,The Revenge of Itzik Finkelstein,Nikmato Shel Itzik Finkelstein,0.0,1993,83,"Comedy,Fantasy",0
tt0107692,Jûbê ninpûchô,7.9,30658.0,Ninja Scroll,Jûbê ninpûchô,0.0,1993,94,"Action,Adventure,Animation",0
tt0107695,No Escape No Return,4.1,130.0,No Escape No Return,No Escape No Return,0.0,1993,91,Action,0
tt0107696,A Dangerous Place,5.5,321.0,A Dangerous Place,A Dangerous Place,0.0,1994,97,"Action,Thriller",0
tt0107697,No Worries,6.9,40.0,No Worries,No Worries,0.0,1993,92,"Drama,Family",0
tt0107699,De nøgne træer,5.8,94.0,De nøgne træer,De nøgne træer,0.0,1991,104,War,0
tt0107701,Nordkurve,6.5,115.0,Nordkurve,Nordkurve,0.0,1992,105,"Comedy,Drama",0
tt0107709,The November Men,6.7,76.0,The November Men,The November Men,0.0,1993,98,"Drama,Thriller",0
tt0107710,Novia que te vea,7.1,99.0,Novia que te vea,Novia que te vea,0.0,1994,114,"Comedy,Drama",0
tt0107711,Nowhere to Run,5.6,19734.0,Nowhere to Run,Nowhere to Run,0.0,1993,94,"Action,Crime,Drama",0
tt0107712,Nu er dang zi qiang,6.4,17.0,Nu er dang zi qiang,Nu er dang zi qiang,0.0,1993,85,"Action,Comedy",0
tt0107713,Nue zhi lian,6.0,126.0,Love to Kill,Nue zhi lian,0.0,1993,87,"Comedy,Drama,Horror",0
tt0107714,La nuit sacrée,5.7,21.0,La nuit sacrée,La nuit sacrée,0.0,1993,\N,Drama,0
tt0107715,Nukie,1.5,1025.0,Nukie,Nukie,0.0,1987,95,"Family,Sci-Fi",0
tt0107719,The Nutcracker,5.8,1489.0,The Nutcracker,The Nutcracker,0.0,1993,92,"Family,Fantasy,Music",0
tt0107720,Nyomkeresö,8.3,31.0,Nyomkeresö,Nyomkeresö,0.0,1993,90,"Adventure,Family,Fantasy",0
tt0107721,"Nyugattól keletre, avagy a média diszkrét bája",7.1,62.0,"Nyugattól keletre, avagy a média diszkrét bája","Nyugattól keletre, avagy a média diszkrét bája",0.0,1994,126,Comedy,0
tt0107722,Não Quero Falar Sobre Isso Agora,7.0,26.0,Não Quero Falar Sobre Isso Agora,Não Quero Falar Sobre Isso Agora,0.0,1991,88,"Comedy,Drama",0
